insee,libelle1,libelle2,voie_num,voie_type,voie_nom,local,voie,CPBIBLIO,CEDEXB,BP,ville,DEPT,REGION,population_legale
60135,Bibliothèque Municipale De Cauvigny,,2,Rue,du Général de Gaulle,,2 Rue du Général de Gaulle,60730,,,Cauvigny,60,22,1488
60139,Bibliotheque Municipale,MARCEL PAGNOL,,RUE,AURELIEN CRONNIER,,RUE AURELIEN CRONNIER,60230,,,Chambly,60,22,9598
60141,Mediatheque Municipale,,34,RUE,D'AUMALE,,34 RUE D'AUMALE,60500,,,Chantilly,60,22,11197
60145,La Clé (Association),,4,rue,de la Mairie,,4 rue de la Mairie,60350,,,Chelles,60,22,484
60146,Bibliotheque Municipale,RUE DES ECOLES,,,rue des Ecoles,Mairie-Bibliothèque,rue des Ecoles,60120,,,Chepoix,60,22,393
60149,Bibliotheque Municipale,JULIETTE ADAM,77,RUE,DE BEAUVAIS,,77 RUE DE BEAUVAIS,60710,,,Chevrières,60,22,1843
60150,Bibliothèque De Chiry-Ourscamp,,30,,rue du four,,30   rue du four,60138,,,Chiry-Ourscamp,60,22,1096
60151,Mediatheque Municipale,,4 BIS,RUE,DU GENERAL LECLERC,,4 BIS RUE DU GENERAL LECLERC,60750,,,Choisy-au-Bac,60,22,3518
60154,Bibliothèque Municipale,,8,rue,de Pont Sainte Maxence,,8 rue de Pont Sainte Maxence,60940,,,Cinqueux,60,22,1564
60155,Bibliotheque Municipale,,2,RUE,ST MARTIN,,2 RUE ST MARTIN,60660,,,Cires-lès-Mello,60,22,3661
60156,Bibliothèque De Clairoix,,1 bis,,rue Général de Gaulle,,1 bis   rue Général de Gaulle,60280,,,Clairoix,60,22,2204
60157,Bibliotheque Municipale,,19,PLACE,DE L'HOTEL DE VILLE,,19 PLACE DE L'HOTEL DE VILLE,60600,,,Clermont,60,22,10959
60163,Bibliothèque Municipale De Cormeilles,,2,rue,de l'eglise,mairie,rue de l'abbé Wassler,60120,,,Cormeilles,60,22,386
60164,Bibliothèque De Le Coudray-Saint-Germer,,,,rue des Ecoles,Centre social - Bibliothèque,rue des Ecoles,60850,,,Le Coudray-Saint-Germer,60,22,922
